emotion_score,cliffhanger_score,continuity_score,arc_deviation,is_flat_zone,drop_off_probability,drop_off_label
0.3745,9.5071,0.732,0.5987,0,0.3285,0
0.7081,0.2058,0.9699,0.8324,0,0.5482,1
0.1818,1.834,0.3042,0.5248,0,0.7082,1
0.1395,2.9214,0.3664,0.4561,1,0.6464,1
0.1997,5.1423,0.5924,0.0465,0,0.4043,0
0.0977,6.8423,0.4402,0.122,0,0.4979,0
0.0344,9.0932,0.2588,0.6625,0,0.6551,1
0.1849,9.6958,0.7751,0.9395,1,0.5585,1
0.5979,9.2187,0.0885,0.196,0,0.2852,0
0.2713,8.2874,0.3568,0.2809,0,0.3252,0
0.1409,8.022,0.0746,0.9869,1,0.7363,1
0.729,7.7127,0.074,0.3585,0,0.4197,0
0.8631,6.233,0.3309,0.0636,0,0.3496,0
0.6376,8.8721,0.4722,0.1196,1,0.303,0
0.7608,5.6128,0.771,0.4938,0,0.2914,0
0.1079,0.3143,0.6364,0.3144,0,0.6304,1
0.9076,2.4929,0.4104,0.7556,0,0.469,0
0.1612,9.297,0.8081,0.6334,1,0.4428,0
0.8037,1.8657,0.8926,0.5393,1,0.48,0
0.1101,2.2794,0.4271,0.818,1,0.825,1
0.007,5.1075,0.4174,0.2221,0,0.5675,1
0.3232,5.1879,0.703,0.3636,1,0.5192,1
0.9624,2.5178,0.4972,0.3009,0,0.3847,0
0.5027,0.5148,0.2786,0.9083,0,0.6678,1
0.1449,4.8945,0.9857,0.2421,0,0.3673,0
0.7282,3.6778,0.6323,0.6335,0,0.4648,0
0.0903,8.353,0.3208,0.1865,0,0.526,1
0.0166,5.1209,0.2265,0.6452,0,0.6874,1
0.6909,3.8674,0.9367,0.1375,0,0.2767,0
0.66,8.1722,0.5552,0.5297,0,0.3361,0
0.0931,8.9722,0.9004,0.6331,0,0.4374,0
0.8971,8.8709,0.7799,0.642,0,0.1566,0
0.1616,8.9855,0.6064,0.0092,0,0.3289,0
0.6919,6.5196,0.2243,0.7122,0,0.3826,0
0.3254,7.4649,0.6496,0.8492,0,0.3988,0
0.3677,2.652,0.244,0.973,0,0.683,1
0.892,6.3114,0.7948,0.5026,0,0.1838,0
0.7225,2.8077,0.0243,0.6455,0,0.5754,1
0.9405,9.5393,0.9149,0.3702,0,0.095,0
0.9667,9.6362,0.853,0.2944,0,0.1298,0
0.8511,3.1692,0.1695,0.5568,1,0.6233,1
0.0972,6.1501,0.9901,0.1401,0,0.4523,0
0.8774,7.4077,0.697,0.7025,0,0.3197,0
0.8101,8.6707,0.9132,0.5113,0,0.1512,0
0.7983,6.4996,0.702,0.7958,1,0.3768,0
0.094,5.7828,0.0359,0.4656,0,0.5406,1
0.2865,5.9083,0.0305,0.0373,1,0.556,1
0.5222,7.6999,0.2158,0.6229,0,0.422,0
0.0517,5.3135,0.5406,0.6374,1,0.6659,1
0.323,7.9519,0.2708,0.439,0,0.4645,0
0.0254,9.6265,0.836,0.696,0,0.3753,0
0.2502,5.4923,0.7146,0.6602,0,0.4629,0
0.9549,7.379,0.5544,0.6117,0,0.2342,0
0.7578,0.1439,0.1161,0.046,0,0.4759,0
